BveTs Station List 2.00:UTF-8
# key,	駅名,		到着時刻,	発車時刻,	停車時間, 	ｼﾞｬﾝﾌﾟ時刻,	出発信号,	降車時間,	乗車率,		開扉音,		発車音,		再開閉率,	挟まり時間
S17,	西神中央,	00:00:00,	12:08:00,	30,			12:07:00,	1,			30,			1.0,		,			,			0.0,		5
S16,	西神南,		12:10:40,	12:11:00,	20,			12:10:40,	0,			15,			1.0,		,			,			0.0,		5
S15,	伊川谷,		12:12:40,	12:13:00,	20,			12:12:40,	0,			10,			1.0,		,			,			0.0,		5
S14,	学園都市,	12:14:45,	12:15:10,	25,			12:14:45,	0,			20,			1.0,		,			,			0.0,		5
S13,	運動公園,	12:17:00,	12:17:20,	20,			12:17:00,	0,			10,			1.0,		,			,			0.0,		5
S12,	名谷,		12:19:10,	12:19:40,	30,			12:19:10,	1,			25,			1.0,		,			,			0.0,		5
S11,	妙法寺,		12:21:50,	12:22:10,	20,			00:00:00,	0,			15,			1.0,		,			,			0.0,		5
S10,	板宿,		12:25:00,	12:25:20,	20,			00:00:00,	0,			20,			1.0,		,			,			0.0,		5
S09,	新長田,		12:27:15,	12:27:40,	30,			00:00:00,	0,			20,			1.0,		,			,			0.0,		5
S08,	長田,		12:29:40,	12:30:00,	20,			00:00:00,	0,			10,			1.0,		,			,			0.0,		5
S07,	上沢,		12:31:10,	12:31:30,	20,			00:00:00,	0,			10,			1.0,		,			,			0.0,		5
S06,	湊川公園,	12:32:45,	12:33:10,	25,			00:00:00,	0,			20,			1.0,		,			,			0.0,		5
S05,	大倉山,		12:34:30,	12:34:50,	20,			00:00:00,	0,			10,			1.0,		,			,			0.0,		5
S04,	県庁前,		12:36:15,	12:36:35,	20,			00:00:00,	0,			10,			1.0,		,			,			0.0,		5
S03,	三宮,		12:37:45,	12:38:25,	40,			00:00:00,	0,			40,			1.0,		,			,			0.0,		5
S02,	新神戸,		12:40:20,	t,			30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
# S01,	谷上,		00:00:00,	00:00:00,	30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
