BveTs Station List 2.00:UTF-8
# key,	駅名,		到着時刻,	発車時刻,	停車時間, 	ｼﾞｬﾝﾌﾟ時刻,	出発信号,	降車時間,	乗車率,		開扉音,		発車音,		再開閉率,	挟まり時間
S17,	西神中央,	00:00:00,	00:00:00,	30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
S16,	西神南,		p,			00:00:00,	30,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S15,	伊川谷,		p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S14,	学園都市,	p,			00:00:00,	0,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
S13,	運動公園,	p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S12,	名谷,		00:00:00,	00:00:00,	30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
S11,	妙法寺,		p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S10,	板宿,		p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S09,	新長田,		00:00:00,	00:00:00,	30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
S08,	長田,		p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S07,	上沢,		p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S06,	湊川公園,	p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S05,	大倉山,		p,			00:00:00,	0,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
S04,	県庁前,		p,			00:00:00,	0,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S03,	三宮,		00:00:00,	00:00:00,	30,			00:00:00,	0,			30,			1.0,		,			,			0.0,		5
S02,	新神戸,		00:00:00,	00:00:00,	30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
S01,	谷上,		00:00:00,	00:00:00,	30,			00:00:00,	1,			30,			1.0,		,			,			0.0,		5
