BveTs Station List 2.00:UTF-8
#停車場名, 時刻表に表示する停車場名, 到着時刻, 出発時刻, 標準停車時間, 駅にジャンプしたときの時刻, 出発信号, 降車時間, 出発時の乗車率, ドアが開いた時に再生される音, 発車予告音, ドアが再開閉される確率, 旅客がドアに挟まる時間
K10, 新長田①, , 18:00:00, , , 1, 20, 1.15, , , 0.05, 5
K09, 駒ヶ林, 18:01:15, 18:01:35, 20, , 0, 5, 1.1, , , 0.05, 5
K08, 苅藻, 18:03:00, 18:03:20, 20, , 0, 5, 1.12, , , 0.05, 5
K07, 御崎公園①, 18:04:30, 18:04:50, 20, , 0, 50, 0.2, , , 0.1, 5
K06, 和田岬, 18:06:25, 18:06:45, 20, , 0, 40, 1.6, , , 0.1, 5
K05, 中央市場前, 18:08:15, 18:08:35, 20, , 0, 5, 1.6, , , 0.05, 5
K04, ハーバーランド, 18:10:30, 18:10:50, 20, , 0, 20, 0.7, , , 0.05, 5
K03, みなと元町, 18:12:10, 18:12:30, 20, , 0, 10, 0.6, , , 0.05, 5
K02, 旧居留地・大丸前, 18:13:55, 18:14:15, 20, , 0, 15, 0.5, , , 0.05, 5
K01, 三宮・花時計前①, 18:15:30, t, , , 1, 20, 0, , , 0.05, 5
