BveTs Vehicle Performance Table 2.01:utf-8
#,1NE,2NE,3NE
0,68.48484848,92.72727273,100
1,68.48484848,92.72727273,100
2,68.48484848,92.72727273,100
3,68.48484848,92.72727273,100
4,68.48484848,92.72727273,100
5,68.48484848,92.72727273,100
6,68.48484848,92.72727273,100
7,68.48484848,92.72727273,100
8,62.61363636,92.72727273,100
9,53.67003367,92.72727273,100
10,47.27272727,92.72727273,100
11,42.53944403,92.72727273,100
12,38.93939394,92.72727273,100
13,36.13770845,92.72727273,100
14,33.91465677,92.72727273,100
15,32.12121212,92.72727273,100
16,30.65340909,92.72727273,100
17,29.43692985,92.72727273,100
18,28.41750842,92.72727273,100
19,27.5547721,92.72727273,100
20,26.81818182,92.72727273,100
21,26.1842919,85.96578025,100
22,25.63486101,80.10518407,100
23,25.155525,74.99226671,100
24,24.73484848,70.50505051,100
25,24.36363636,66.54545455,100
26,24.03442711,63.03388919,100
27,23.74111485,59.90522509,100
28,23.47866419,57.10575139,100
29,23.24289266,54.59085504,100
30,23.03030303,52.32323232,100
31,22.93255132,51.28054741,100
32,22.84090909,50.3030303,100
33,22.75482094,49.38475666,100
34,22.67379679,48.52049911,100
35,22.5974026,47.70562771,100
36,22.52525253,46.93602694,100
37,22.45700246,46.20802621,100
38,22.3923445,45.51834131,100
39,22.33100233,44.86402486,100
40,22.27272727,44.24242424,100
41,22.2172949,43.6511456,100
42,22.16450216,43.08802309,100
43,22.1141649,42.55109232,100
44,22.0661157,42.03856749,100
45,22.02020202,41.54882155,100
46,21.97628458,41.08036891,100
47,21.93423598,40.63185042,100
48,21.89393939,40.2020202,100
49,21.85528757,39.78973408,100
50,21.81818182,39.39393939,100
51,21.78253119,39.01366607,98.4856879
52,21.74825175,38.64801865,97.28894174
53,21.71526587,38.29616924,96.12754955
54,21.68350168,37.95735129,95
55,21.65289256,37.63085399,93.90486428
56,21.62337662,37.31601732,92.84079084
57,21.59489633,37.01222754,91.80650038
58,21.56739812,36.71891327,90.80078125
59,21.54083205,36.43554186,89.82248521
60,21.51515152,36.16161616,88.87052342
61,21.49031297,35.89667163,87.94386278
62,21.46627566,35.6402737,87.04152249
63,21.44300144,35.39201539,86.16257089
64,21.42045455,35.15151515,85.30612245
65,21.3986014,34.91841492,84.47133505
66,21.37741047,34.69237833,83.65740741
67,21.3568521,34.4730891,82.86357666
68,21.3368984,34.26024955,82.08911614
69,21.31752306,34.05357927,81.33333333
70,21.2987013,33.85281385,80.59556787
71,21.28040973,33.6577038,79.87518975
72,21.26262626,33.46801347,79.17159763
73,21.24533001,33.28352013,78.48421727
74,21.22850123,33.1040131,77.8125
75,21.21212121,32.92929293,77.15592135
76,21.19617225,32.75917065,76.51397977
77,21.18063754,32.59346714,75.88619538
78,21.16550117,32.43201243,75.27210884
79,21.15074799,32.27464519,74.67128028
80,21.13636364,32.12121212,74.08328826
